1stFlrSF,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,PoolQC,RoofMatl,RoofStyle,SaleCondition,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,Utilities,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold,SalePrice
856.0,854.0,0.0,None,3,1Fam,TA,No,706.0,0.0,GLQ,Unf,1,0,Gd,150.0,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,None,None,0,PConc,2,Typ,548.0,2,TA,RFn,TA,Attchd,2003.0,1710.0,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,8450.0,Inside,65.0,Reg,0.0,60,RL,196.0,BrkFace,None,0.0,2,CollgCr,61.0,5,7,Y,0.0,None,CompShg,Gable,Normal,WD,0.0,Pave,8,856.0,AllPub,0.0,2003,2003,2008,208500.0
1262.0,0.0,0.0,None,3,1Fam,TA,Gd,978.0,0.0,ALQ,Unf,0,1,Gd,284.0,Y,Feedr,Norm,SBrkr,0.0,TA,TA,MetalSd,MetalSd,None,TA,1,CBlock,2,Typ,460.0,2,TA,RFn,TA,Attchd,1976.0,1262.0,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,9600.0,FR2,80.0,Reg,0.0,20,RL,0.0,None,None,0.0,5,Veenker,0.0,8,6,Y,0.0,None,CompShg,Gable,Normal,WD,0.0,Pave,6,1262.0,AllPub,298.0,1976,1976,2007,181500.0
920.0,866.0,0.0,None,3,1Fam,TA,Mn,486.0,0.0,GLQ,Unf,1,0,Gd,434.0,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,None,TA,1,PConc,2,Typ,608.0,2,TA,RFn,TA,Attchd,2001.0,1786.0,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,11250.0,Inside,68.0,IR1,0.0,60,RL,162.0,BrkFace,None,0.0,9,CollgCr,42.0,5,7,Y,0.0,None,CompShg,Gable,Normal,WD,0.0,Pave,6,920.0,AllPub,0.0,2001,2002,2008,223500.0
961.0,756.0,0.0,None,3,1Fam,Gd,No,216.0,0.0,ALQ,Unf,1,0,TA,540.0,Y,Norm,Norm,SBrkr,272.0,TA,TA,Wd Sdng,Wd Shng,None,Gd,1,BrkTil,1,Typ,642.0,3,TA,Unf,TA,Detchd,1998.0,1717.0,0,GasA,Gd,2Story,1,Gd,Lvl,Gtl,9550.0,Corner,60.0,IR1,0.0,70,RL,0.0,None,None,0.0,2,Crawfor,35.0,5,7,Y,0.0,None,CompShg,Gable,Abnorml,WD,0.0,Pave,7,756.0,AllPub,0.0,1915,1970,2006,140000.0
1145.0,1053.0,0.0,None,4,1Fam,TA,Av,655.0,0.0,GLQ,Unf,1,0,Gd,490.0,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,None,TA,1,PConc,2,Typ,836.0,3,TA,RFn,TA,Attchd,2000.0,2198.0,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,14260.0,FR2,84.0,IR1,0.0,60,RL,350.0,BrkFace,None,0.0,12,NoRidge,84.0,5,8,Y,0.0,None,CompShg,Gable,Normal,WD,0.0,Pave,9,1145.0,AllPub,192.0,2000,2000,2008,250000.0
796.0,566.0,320.0,None,1,1Fam,TA,No,732.0,0.0,GLQ,Unf,1,0,Gd,64.0,Y,Norm,Norm,SBrkr,0.0,TA,TA,VinylSd,VinylSd,MnPrv,None,0,Wood,1,Typ,480.0,2,TA,Unf,TA,Attchd,1993.0,1362.0,1,GasA,Ex,1.5Fin,1,TA,Lvl,Gtl,14115.0,Inside,85.0,IR1,0.0,50,RL,0.0,None,Shed,700.0,10,Mitchel,30.0,5,5,Y,0.0,None,CompShg,Gable,Normal,WD,0.0,Pave,5,796.0,AllPub,40.0,1993,1995,2009,143000.0
1694.0,0.0,0.0,None,3,1Fam,TA,Av,1369.0,0.0,GLQ,Unf,1,0,Ex,317.0,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,None,Gd,1,PConc,2,Typ,636.0,2,TA,RFn,TA,Attchd,2004.0,1694.0,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,10084.0,Inside,75.0,Reg,0.0,20,RL,186.0,Stone,None,0.0,8,Somerst,57.0,5,8,Y,0.0,None,CompShg,Gable,Normal,WD,0.0,Pave,7,1686.0,AllPub,255.0,2004,2005,2007,307000.0
1107.0,983.0,0.0,None,3,1Fam,TA,Mn,859.0,32.0,ALQ,BLQ,1,0,Gd,216.0,Y,PosN,Norm,SBrkr,228.0,TA,TA,HdBoard,HdBoard,None,TA,2,CBlock,2,Typ,484.0,2,TA,RFn,TA,Attchd,1973.0,2090.0,1,GasA,Ex,2Story,1,TA,Lvl,Gtl,10382.0,Corner,101.89209979188769,IR1,0.0,60,RL,240.0,Stone,Shed,350.0,11,NWAmes,204.0,6,7,Y,0.0,None,CompShg,Gable,Normal,WD,0.0,Pave,7,1107.0,AllPub,235.0,1973,1973,2009,200000.0
1022.0,752.0,0.0,None,2,1Fam,None,None,0.0,0.0,None,None,0,0,None,952.0,Y,Artery,Norm,FuseF,205.0,TA,TA,BrkFace,Wd Shng,None,TA,2,BrkTil,2,Min1,468.0,2,TA,Unf,Fa,Detchd,1931.0,1774.0,0,GasA,Gd,1.5Fin,2,TA,Lvl,Gtl,6120.0,Inside,51.0,Reg,0.0,50,RM,0.0,None,None,0.0,4,OldTown,0.0,5,7,Y,0.0,None,CompShg,Gable,Abnorml,WD,0.0,Pave,8,952.0,AllPub,90.0,1931,1950,2008,129900.0
1077.0,0.0,0.0,None,2,2fmCon,TA,No,851.0,0.0,GLQ,Unf,1,0,TA,140.0,Y,Artery,Artery,SBrkr,0.0,TA,TA,MetalSd,MetalSd,None,TA,2,BrkTil,1,Typ,205.0,1,TA,RFn,Gd,Attchd,1939.0,1077.0,0,GasA,Ex,1.5Unf,2,TA,Lvl,Gtl,7420.0,Corner,50.0,Reg,0.0,190,RL,0.0,None,None,0.0,1,BrkSide,4.0,6,5,Y,0.0,None,CompShg,Gable,Normal,WD,0.0,Pave,5,991.0,AllPub,0.0,1939,1950,2008,118000.0
