nation|o_year|sum_profit
ALGERIA|1998|246453.56
ALGERIA|1997|871213.37
ALGERIA|1996|904049.86
ALGERIA|1995|770208.36
ALGERIA|1994|789109.41
ALGERIA|1993|681803.15
ALGERIA|1992|1026448.05
ARGENTINA|1998|75993.37
ARGENTINA|1997|112642.60
ARGENTINA|1996|253587.07
ARGENTINA|1995|144173.79
ARGENTINA|1994|128575.97
ARGENTINA|1993|96830.98
ARGENTINA|1992|93047.78
BRAZIL|1998|110695.69
BRAZIL|1997|74735.00
BRAZIL|1996|63430.00
BRAZIL|1995|292648.20
BRAZIL|1994|87664.08
BRAZIL|1993|203504.41
BRAZIL|1992|245163.22
CANADA|1998|4472.95
CANADA|1997|0.00
CANADA|1996|1395.79
CANADA|1995|57904.96
CANADA|1994|62143.97
CANADA|1993|68071.81
CANADA|1992|117379.48
CHINA|1998|347869.45
CHINA|1997|424338.37
CHINA|1996|502699.55
CHINA|1995|339165.34
CHINA|1994|683752.55
CHINA|1993|273456.93
CHINA|1992|399804.11
EGYPT|1998|0.00
EGYPT|1997|0.00
EGYPT|1996|0.00
EGYPT|1995|0.00
EGYPT|1994|0.00
EGYPT|1993|0.00
EGYPT|1992|0.00
ETHIOPIA|1998|206184.83
ETHIOPIA|1997|384330.23
ETHIOPIA|1996|297781.25
ETHIOPIA|1995|508021.95
ETHIOPIA|1994|227949.52
ETHIOPIA|1993|402180.28
ETHIOPIA|1992|237994.56
FRANCE|1998|256769.45
FRANCE|1997|337905.13
FRANCE|1996|456941.81
FRANCE|1995|695381.36
FRANCE|1994|841592.47
FRANCE|1993|207829.26
FRANCE|1992|482709.34
GERMANY|1998|263654.66
GERMANY|1997|341860.01
GERMANY|1996|237072.66
GERMANY|1995|277244.02
GERMANY|1994|448616.20
GERMANY|1993|96783.00
GERMANY|1992|265691.35
INDIA|1998|381379.52
INDIA|1997|881586.57
INDIA|1996|529072.38
INDIA|1995|902502.61
INDIA|1994|556560.75
INDIA|1993|1212983.29
INDIA|1992|923019.22
INDONESIA|1998|604120.42
INDONESIA|1997|474520.35
INDONESIA|1996|969836.90
INDONESIA|1995|631323.68
INDONESIA|1994|460474.07
INDONESIA|1993|518292.32
INDONESIA|1992|406549.91
IRAN|1998|190819.37
IRAN|1997|57759.96
IRAN|1996|123143.88
IRAN|1995|103246.49
IRAN|1994|90382.51
IRAN|1993|24021.29
IRAN|1992|22012.83
IRAQ|1998|0.00
IRAQ|1997|282410.46
IRAQ|1996|123693.48
IRAQ|1995|37049.50
IRAQ|1994|66207.13
IRAQ|1993|195203.78
IRAQ|1992|33176.29
JAPAN|1998|266455.65
JAPAN|1997|485119.53
JAPAN|1996|656907.89
JAPAN|1995|286875.25
JAPAN|1994|253721.52
JAPAN|1993|325355.19
JAPAN|1992|362907.57
JORDAN|1998|6406.06
JORDAN|1997|248757.24
JORDAN|1996|103862.32
JORDAN|1995|68604.01
JORDAN|1994|393897.25
JORDAN|1993|0.00
JORDAN|1992|145086.17
KENYA|1998|281530.23
KENYA|1997|748663.41
KENYA|1996|540771.71
KENYA|1995|262489.62
KENYA|1994|652877.02
KENYA|1993|617680.61
KENYA|1992|816991.62
MOROCCO|1998|16235.34
MOROCCO|1997|92076.08
MOROCCO|1996|116901.04
MOROCCO|1995|273879.19
MOROCCO|1994|699276.23
MOROCCO|1993|495761.22
MOROCCO|1992|205651.92
MOZAMBIQUE|1998|296886.03
MOZAMBIQUE|1997|361094.35
MOZAMBIQUE|1996|216663.39
MOZAMBIQUE|1995|289957.51
MOZAMBIQUE|1994|185409.48
MOZAMBIQUE|1993|464448.75
MOZAMBIQUE|1992|201203.03
PERU|1998|119336.09
PERU|1997|628869.30
PERU|1996|479291.54
PERU|1995|643957.44
PERU|1994|931518.32
PERU|1993|511299.88
PERU|1992|207077.42
ROMANIA|1998|153736.21
ROMANIA|1997|340982.96
ROMANIA|1996|383101.21
ROMANIA|1995|655361.72
ROMANIA|1994|380981.37
ROMANIA|1993|272794.28
ROMANIA|1992|324336.00
RUSSIA|1998|305859.09
RUSSIA|1997|562707.71
RUSSIA|1996|503432.24
RUSSIA|1995|295728.02
RUSSIA|1994|642514.42
RUSSIA|1993|435999.26
RUSSIA|1992|490030.53
SAUDI ARABIA|1998|316661.97
SAUDI ARABIA|1997|686253.42
SAUDI ARABIA|1996|265788.56
SAUDI ARABIA|1995|568077.59
SAUDI ARABIA|1994|142951.75
SAUDI ARABIA|1993|944059.48
SAUDI ARABIA|1992|412254.56
UNITED KINGDOM|1998|297614.73
UNITED KINGDOM|1997|680278.33
UNITED KINGDOM|1996|773732.56
UNITED KINGDOM|1995|299229.70
UNITED KINGDOM|1994|666332.60
UNITED KINGDOM|1993|398187.64
UNITED KINGDOM|1992|142410.73
UNITED STATES|1998|106162.68
UNITED STATES|1997|245301.35
UNITED STATES|1996|514429.70
UNITED STATES|1995|278556.72
UNITED STATES|1994|295251.47
UNITED STATES|1993|299345.09
UNITED STATES|1992|361116.92
VIETNAM|1998|308458.51
VIETNAM|1997|798774.08
VIETNAM|1996|872909.96
VIETNAM|1995|765572.84
VIETNAM|1994|1162154.00
VIETNAM|1993|853994.36
VIETNAM|1992|821883.02
